alert_type,is_critical,vbt,vct,vmt,vbv,vbc,soc,speed
Low SoC,1,34.66,46.38,64.28,46.08,-75.65,4.41,0.2
Low SoC,1,48.42,68.45,72.68,45.35,-54.67,2.86,5.19
OverSpeed,0,27.05,35.9,40.15,69.48,-1.85,59.24,32.91
Harsh Braking,0,27.87,33.07,43.95,73.92,-19.09,81.3,25.23
Harsh Cornering,0,30.98,39.94,37.24,72.77,-15.22,70.43,33.0
Harsh Acceleration,0,35.17,38.61,51.0,77.95,-21.42,92.64,37.68
Harsh Braking,0,29.26,34.05,44.15,65.77,-11.13,48.84,25.23
Harsh Braking,0,30.55,35.05,42.05,69.53,-38.41,64.19,41.84
Consecutive Fast Charging,1,45.73,59.6,70.68,43.25,-63.67,0.71,23.29
Low SoC,1,39.57,42.67,76.56,45.82,-70.93,6.64,17.18
Harsh Cornering,0,21.6,24.67,27.59,73.04,-9.86,76.2,8.06
Harsh Braking,0,26.73,32.95,30.93,66.27,6.03,48.81,35.36
Low SoC,1,32.77,44.7,49.98,47.78,-60.1,10.62,2.22
Battery Under Voltage,1,46.01,57.08,85.8,48.42,-43.53,5.22,7.67
Harsh Acceleration,0,29.2,33.05,37.3,73.13,-10.66,71.01,35.8
Low SoC,1,44.23,61.46,68.99,45.24,-49.34,7.93,0.67
Harsh Acceleration,0,34.37,42.09,43.94,77.89,-6.01,90.09,11.81
Deep Discharge Warning,1,53.3,65.76,79.92,45.97,-40.77,9.1,41.05
Harsh Acceleration,0,30.48,40.14,46.64,63.33,-32.26,41.73,30.17
Consecutive Fast Charging,1,41.31,52.96,66.75,48.83,-29.87,10.32,38.16
Harsh Acceleration,0,30.61,38.78,43.12,64.57,-15.76,45.82,36.19
Consecutive Fast Charging,1,39.33,51.38,59.68,41.72,-31.49,1.52,8.43
Harsh Acceleration,0,30.63,35.23,41.96,64.0,1.71,44.12,41.34
Harsh Acceleration,0,30.38,41.58,46.42,75.03,-12.68,80.53,39.36
Harsh Acceleration,0,32.87,36.89,47.38,70.77,-10.87,68.51,68.48
Deep Discharge Warning,1,41.16,55.51,66.72,45.27,-27.58,10.11,18.75
Low SoC,1,35.87,46.8,67.23,45.64,-49.9,1.03,3.36
Battery Under Voltage,1,46.24,52.6,77.71,44.1,-38.09,4.16,16.61
Deep Discharge Warning,1,44.85,59.71,81.31,43.31,-18.45,2.13,18.81
Thermal Overheat Surge,1,40.58,47.58,67.46,44.16,-53.51,5.24,29.07
Harsh Braking,0,33.38,37.55,41.43,80.66,-20.69,96.82,18.67
Harsh Acceleration,0,25.85,33.14,37.23,74.44,-28.89,82.39,38.72
Deep Discharge Warning,1,42.67,52.24,62.31,46.69,-40.24,2.05,1.73
Harsh Acceleration,0,27.43,35.97,32.94,62.79,-29.03,42.0,30.47
Low SoC,1,38.81,62.84,67.59,46.15,-28.0,5.64,3.29
Low SoC,1,16.97,31.65,37.42,47.96,-40.51,16.02,4.45
Deep Discharge Warning,1,36.79,54.91,50.35,45.56,-66.78,3.18,15.89
Low SoC,1,29.07,38.71,49.71,43.79,-45.91,1.73,0.97
Deep Discharge Warning,1,43.19,47.06,81.87,47.64,-46.3,2.82,3.81
Deep Discharge Warning,1,49.53,63.74,77.91,44.66,-54.87,5.65,3.18
Harsh Braking,0,28.79,27.51,32.3,73.55,-19.04,69.94,12.08
Low SoC,1,39.03,50.24,65.69,46.02,-36.83,5.65,11.33
Harsh Acceleration,0,29.32,38.02,38.43,77.04,-6.83,83.44,36.28
Harsh Acceleration,0,33.4,39.73,50.12,71.63,-7.37,62.99,28.35
Thermal Overheat Surge,1,53.04,69.74,89.46,45.19,-40.85,13.61,1.97
Battery Under Voltage,1,63.43,76.63,80.21,45.63,-68.9,0.58,23.73
Harsh Braking,0,27.52,37.29,36.7,71.01,-9.01,65.46,32.54
Battery Under Voltage,1,36.38,53.75,61.84,45.37,-58.86,6.58,1.49
Harsh Braking,0,23.75,29.22,40.33,77.36,-7.25,93.57,45.05
Harsh Braking,0,33.26,39.84,41.6,69.06,-23.23,61.19,38.21
Deep Discharge Warning,1,37.8,47.87,48.42,46.72,-38.05,7.67,4.93
Consecutive Fast Charging,1,38.15,59.3,63.62,46.24,-27.22,10.85,4.7
Battery Under Voltage,1,50.48,60.38,76.62,48.41,-46.87,12.89,6.8
Low SoC,1,41.14,55.63,64.24,48.3,-73.96,13.01,23.79
Thermal Overheat Surge,1,44.35,46.31,73.45,44.82,-53.96,5.5,8.48
Harsh Acceleration,0,24.17,25.38,41.03,71.1,-16.3,66.88,48.42
Consecutive Fast Charging,1,39.96,58.41,60.58,49.34,-17.71,21.54,3.18
Harsh Cornering,0,26.34,32.18,37.48,76.61,-8.55,90.36,17.27
Low SoC,1,45.13,50.72,77.45,48.18,-41.06,15.94,1.97
Deep Discharge Warning,1,50.67,61.79,83.65,48.32,-61.92,7.66,47.72
Consecutive Fast Charging,1,41.17,53.7,69.46,48.65,-44.56,17.96,20.58
Harsh Acceleration,0,24.12,29.85,34.63,72.71,3.67,72.96,43.17
Low SoC,1,36.67,37.99,54.52,46.1,-68.38,5.64,4.09
Harsh Acceleration,0,31.04,33.14,39.73,73.53,-20.84,74.01,17.39
Deep Discharge Warning,1,44.37,63.69,72.56,46.19,-72.61,10.47,11.26
Harsh Cornering,0,31.55,43.81,40.56,70.47,-20.73,67.05,55.56
Low SoC,1,36.98,49.69,54.44,45.66,-32.63,1.52,11.16
Harsh Acceleration,0,21.51,28.39,32.01,64.38,-2.03,41.74,18.3
Deep Discharge Warning,1,49.97,54.77,65.25,47.28,-49.31,3.27,3.82
Low SoC,1,42.1,54.28,53.87,45.36,-44.71,2.84,8.74
Battery Under Voltage,1,42.91,61.63,74.32,48.48,-40.52,7.94,10.0
Deep Discharge Warning,1,43.94,53.14,71.05,51.36,2.96,18.6,1.48
Battery Under Voltage,1,34.59,48.95,63.4,47.26,-21.25,9.58,9.57
Low SoC,1,36.78,46.71,60.92,48.01,-73.75,8.68,12.2
Harsh Cornering,0,31.21,36.98,44.46,73.6,-9.45,75.62,29.81
Harsh Acceleration,0,32.29,38.93,39.62,75.88,-9.82,79.97,43.57
Harsh Braking,0,24.61,31.64,38.6,69.08,-13.46,64.59,43.71
Harsh Braking,0,24.59,31.6,36.34,67.06,-22.26,55.68,26.72
Low SoC,1,32.67,41.54,51.61,47.29,-68.13,12.35,10.51
Harsh Braking,0,34.36,37.26,51.6,65.24,-11.23,46.71,48.69
Harsh Acceleration,0,26.27,36.45,36.02,72.06,-18.15,72.73,29.06
Deep Discharge Warning,1,38.51,48.44,62.46,47.76,-51.68,13.55,2.23
Battery Under Voltage,1,44.88,59.35,69.63,45.66,-46.96,5.16,39.88
Harsh Acceleration,0,30.51,34.71,40.31,64.43,-2.29,48.94,46.61
Battery Under Voltage,1,35.41,50.45,47.66,48.34,-50.53,5.33,9.65
Harsh Acceleration,0,24.09,29.93,30.29,66.27,5.24,48.96,37.25
Harsh Braking,0,31.42,37.52,54.34,76.04,-11.57,92.41,24.95
Harsh Cornering,0,37.18,45.39,58.42,66.73,-17.7,53.07,47.58
Consecutive Fast Charging,1,32.71,51.69,57.09,45.62,-56.2,15.2,39.61
Consecutive Fast Charging,1,48.49,56.72,55.55,45.85,-47.07,3.24,3.36
Harsh Acceleration,0,27.16,35.73,35.57,75.19,-28.56,83.86,17.67
Harsh Braking,0,29.17,37.33,44.71,66.0,-26.04,48.1,17.05
Consecutive Fast Charging,1,54.22,66.75,83.7,45.94,-36.12,10.67,23.45
Deep Discharge Warning,1,33.84,42.58,67.0,48.38,-55.37,9.43,40.56
Low SoC,1,45.79,64.88,81.55,45.98,-44.97,4.9,1.66
Battery Under Voltage,1,37.91,44.14,57.83,48.3,-67.99,11.36,11.64
Low SoC,1,35.92,54.5,64.11,48.71,-61.33,9.86,75.27
Harsh Acceleration,0,25.61,28.18,34.05,72.71,5.92,72.3,53.96
Thermal Overheat Surge,1,33.43,44.19,52.63,44.55,-39.16,2.61,5.94
Harsh Braking,0,32.16,40.77,34.35,68.04,-30.99,56.32,22.46
Battery Under Voltage,1,34.36,41.41,72.6,47.6,-40.49,11.33,15.48
Harsh Acceleration,0,37.27,45.31,42.42,73.83,-8.5,74.33,49.95
Low SoC,1,42.92,53.0,69.3,45.46,-32.44,1.62,9.65
Battery Under Voltage,1,44.94,55.78,82.88,46.18,-20.61,1.84,110.02
