feature,importance
battery_voltage,14.333409397653304
voltage_deviation,13.5368940618144
abs_current,0.636514938919267
odometer,0.347902287370736
battery_current,0.3088741253845438
day_of_week,0.24254857872301913
is_charging,0.23987018848863706
hour,0.18476406746215285
month,0.17282964515106586
battery_temp,0.16754207123146309
odometer_diff,0.1584918042405576
is_weekend,0.12545359639815515
temp_stress_index,0.11941671652805733
is_peak,0.07542284496034429
drive_mode_encoded,1.3751462496792464e-06
oem_encoded,0.0
model_encoded,0.0
