Task,Model,Type,RMSE,MAE,R2,MAPE%,Train_RMSE,Train_R2,FitStatus,TrainTime_s
SOC,RandomForest,ML,1.1457,0.4177,0.9973,0.72,,,Underfitting,
SOC,GradientBoosting,ML,1.2231,0.669,0.9969,1.11,,,Underfitting,
SOC,XGBoost,ML,1.5281,0.7771,0.9952,1.29,,,Underfitting,
SOC,ExtraTrees,ML,1.2064,0.4492,0.997,0.78,,,Underfitting,
SOC,DecisionTree,ML,2.0442,0.9066,0.9915,1.55,,,Underfitting,
SOC,KNN,ML,1.3215,0.5094,0.9964,0.89,,,Underfitting,
SOC,Ridge,ML,4.4132,1.834,0.9603,3.23,,,Underfitting,
SOC,Lasso,ML,4.4143,1.8359,0.9602,3.23,,,Underfitting,
SOH,RandomForest,ML,0.2733,0.0168,0.9981,0.02,,,Underfitting,
SOH,GradientBoosting,ML,0.8356,0.3856,0.9823,0.43,,,Underfitting,
SOH,XGBoost,ML,1.0417,0.4718,0.9725,0.53,,,Underfitting,
SOH,ExtraTrees,ML,0.2001,0.0147,0.999,0.02,,,Underfitting,
SOH,DecisionTree,ML,1.2339,0.3245,0.9614,0.37,,,Underfitting,
SOH,KNN,ML,1.1389,0.2305,0.9671,0.26,,,Underfitting,
SOH,Ridge,ML,5.1365,3.9366,0.3313,4.42,,,Underfitting,
SOH,Lasso,ML,5.1365,3.9342,0.3313,4.42,,,Underfitting,
RUL,RandomForest,ML,0.0455,0.0262,1.0,0.0,,,Underfitting,
RUL,GradientBoosting,ML,0.1617,0.1196,1.0,0.01,,,Underfitting,
RUL,XGBoost,ML,0.48,0.3263,1.0,0.02,,,Underfitting,
RUL,ExtraTrees,ML,0.0466,0.0239,1.0,0.0,,,Underfitting,
RUL,SVR,ML,2.4434,0.8932,0.9991,0.07,,,Underfitting,
RUL,DecisionTree,ML,0.1033,0.0813,1.0,0.01,,,Underfitting,
RUL,KNN,ML,5.9283,4.4466,0.995,0.32,,,Underfitting,
RUL,Ridge,ML,0.1068,0.0696,1.0,0.01,,,Underfitting,
RUL,Lasso,ML,0.071,0.0449,1.0,0.0,,,Underfitting,
Mileage,RandomForest,ML,7.5695,3.1433,0.9447,3.49,,,Underfitting,
Mileage,GradientBoosting,ML,7.5154,3.8245,0.9455,4.43,,,Underfitting,
Mileage,XGBoost,ML,7.4424,3.7726,0.9466,4.42,,,Underfitting,
Mileage,ExtraTrees,ML,7.5825,3.1311,0.9445,3.51,,,Underfitting,
Mileage,SVR,ML,12.0571,5.4139,0.8598,5.97,,,Underfitting,
Mileage,DecisionTree,ML,9.1437,3.9664,0.9193,4.5,,,Underfitting,
Mileage,KNN,ML,13.5222,9.0376,0.8236,10.82,,,Underfitting,
Mileage,Ridge,ML,16.2499,11.8238,0.7453,14.42,,,Underfitting,
Mileage,Lasso,ML,16.2521,11.8286,0.7452,14.44,,,Underfitting,
